                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.90821,                 1.5669,                 0.5868,                 1.0277,                0.69426,                0.58599,                0.62312,                0.33872,                0.63691,                0.52626,                0.50758,                0.19737,                 1.6024,                 2.4617,                 1.1391,                 1.6154,              0.0092377,              0.0092377,              0.0092377
                     80,                0.89044,                 1.5461,                0.57826,                  1.022,                0.72203,                0.54995,                0.59663,                0.32543,                0.59509,                0.53244,                0.48307,                0.18513,                 1.6343,                 2.5129,                 1.2128,                 1.6588,              0.0092278,              0.0092278,              0.0092278
                     81,                0.89166,                 1.5443,                 0.5714,                 1.0202,                0.70986,                0.55922,                0.61141,                0.33937,                0.63104,                0.52841,                0.51271,                0.19649,                 1.6319,                 2.4753,                 1.1842,                 1.6569,              0.0092179,              0.0092179,              0.0092179
                     82,                0.88493,                 1.5297,                0.57134,                 1.0206,                0.67697,                0.57841,                0.60194,                0.33116,                0.60644,                0.51098,                0.50422,                0.19562,                 1.6056,                 2.4515,                 1.2048,                 1.6179,               0.009208,               0.009208,               0.009208
                     83,                0.89291,                 1.5338,                0.58078,                 1.0172,                0.68183,                0.57162,                0.59681,                0.32748,                0.63657,                0.50327,                 0.4883,                0.18291,                 1.6387,                 2.5144,                  1.221,                 1.6663,              0.0091981,              0.0091981,              0.0091981
                     84,                0.89101,                 1.5381,                0.57435,                 1.0169,                0.65536,                0.59526,                0.61745,                0.33774,                0.62367,                0.52568,                0.52114,                 0.1976,                  1.602,                 2.4359,                 1.1779,                 1.5894,              0.0091882,              0.0091882,              0.0091882
                     85,                0.88685,                 1.5448,                 0.5708,                 1.0155,                0.65494,                0.60009,                0.60447,                0.33442,                0.61267,                0.54068,                0.51494,                0.19342,                  1.582,                 2.3879,                    1.2,                 1.6333,              0.0091783,              0.0091783,              0.0091783
                     86,                 0.8884,                 1.5411,                0.57317,                 1.0167,                0.67736,                0.61837,                0.61967,                0.34436,                0.61431,                 0.5345,                0.50893,                0.19788,                 1.5857,                 2.3976,                 1.1741,                 1.6164,              0.0091684,              0.0091684,              0.0091684
                     87,                0.88085,                 1.5251,                0.56564,                 1.0108,                0.65953,                0.58253,                0.59497,                0.32708,                0.62457,                0.51571,                0.50224,                0.19299,                 1.5916,                 2.4732,                  1.246,                 1.6159,              0.0091585,              0.0091585,              0.0091585
                     88,                0.87804,                 1.5084,                0.55693,                  1.011,                0.69514,                0.58393,                0.60668,                0.33525,                0.62449,                0.53759,                0.49945,                0.19597,                 1.6092,                 2.4666,                 1.1941,                 1.6431,              0.0091486,              0.0091486,              0.0091486
                     89,                 0.8763,                 1.5233,                 0.5579,                 1.0152,                0.66497,                0.55803,                0.57988,                0.31676,                 0.5928,                0.51574,                0.48211,                0.18272,                  1.649,                 2.4693,                 1.2636,                 1.6562,              0.0091387,              0.0091387,              0.0091387
                     90,                0.86953,                 1.5132,                0.55707,                 1.0129,                0.63524,                0.58827,                0.59352,                0.32685,                0.59796,                0.50257,                0.48763,                0.18495,                 1.6056,                 2.4315,                 1.2401,                 1.6335,              0.0091288,              0.0091288,              0.0091288
                     91,                0.86972,                 1.5127,                0.55317,                 1.0059,                0.69332,                0.56231,                0.59573,                0.32488,                0.64964,                0.50772,                0.49564,                0.18754,                  1.609,                   2.43,                 1.2729,                 1.6663,              0.0091189,              0.0091189,              0.0091189
                     92,                0.86429,                 1.4915,                0.54812,                 1.0046,                 0.6813,                 0.5654,                0.59261,                0.33951,                0.62978,                0.51596,                0.50413,                0.19853,                  1.599,                 2.5308,                 1.3231,                 1.6523,               0.009109,               0.009109,               0.009109
                     93,                0.85807,                 1.4933,                0.54952,                 1.0009,                0.65725,                0.58849,                0.60005,                0.33679,                 0.6017,                0.52729,                 0.5074,                0.19313,                 1.6291,                 2.5423,                 1.2562,                 1.6577,              0.0090991,              0.0090991,              0.0090991
